reference,doi,species,treatment,replicate,t,p_mean,p_sd,n,source
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Spring,NA,21,0.26658714,NA,1,"Figure 2, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Spring,NA,25,0.23305412,NA,1,"Figure 2, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,0,1,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,8,0.43665165,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,11,0.32824513,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,13,0.2200058,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,15,0.47631332,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Summer,NA,18,0.2599767,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,0,1,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,7,0.94826835,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,12,1.0551331,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,15,1.0460372,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,19,0.8516141,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,26,0.66595817,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,30,0.33760777,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Autumn,NA,36,0.18389352,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,0,1,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,6,0.79310346,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,12,0.95537525,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,15,0.48478702,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,19,0.9452333,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,26,0.69574034,NA,1,"Figure 3, Table 1"
Bourguès et al. 1996,10.1007/bf00034552,Ulvaria obscura,Winter,NA,30,0.5436106,NA,1,"Figure 3, Table 1"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,0,1,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,2,1.035870679,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,5,1.19724215,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,6,1.183266561,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,7,1.050871145,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,8,1.054691139,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,12,1.091773036,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,13,1.118512997,NA,1,"Data, Figure 3"
Vandendriessche et al. 2007,10.1016/j.jembe.2006.11.010,Fucus vesiculosus,10°C Grazed,1,15,1.162023665,NA,1,"Data, Figure 3"
