reference,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Frontier et al. 2022,gamma_heteroskedastic,0,0,50.94535061327802,31.444910469595232,22.016226413244564,18.115146746092258,-101.89070122655605,62.889820939190464
Frontier et al. 2022,betaprime_heteroskedastic,-20.047847827186185,6.786640644352317,30.89750278609189,37.56135462473322,22.533421829122993,18.821636598558136,-61.79500557218378,75.12270924946644
Frontier et al. 2022,gamma_homoskedastic,-127.1525212025929,40.879705962094654,-76.20717058931493,67.60618667663125,35.16398239939965,33.08494988617884,152.41434117862985,135.2123733532625
Frontier et al. 2022,betaprime_homoskedastic,-176.54548526777447,53.96760217080488,-125.60013465449651,80.97613030513706,44.74204678479522,42.69370987723626,251.20026930899303,161.95226061027412
Vandendriessche et al. 2007,gamma_heteroskedastic,0,0,1385.463790525629,105.15865115522014,147.50996567921007,33.85608759240681,-2770.927581051258,210.31730231044028
Vandendriessche et al. 2007,betaprime_heteroskedastic,-65.62049447681038,36.224705423853266,1319.8432960488178,137.8394590544179,169.20062632343044,48.683714921335756,-2639.6865920976356,275.6789181088358
Vandendriessche et al. 2007,gamma_homoskedastic,-66.28599266029902,46.96484706136019,1319.177797865328,146.08133454135634,132.73218163650486,34.745819299521145,-2638.355595730656,292.1626690827127
Vandendriessche et al. 2007,betaprime_homoskedastic,-101.13547921836873,78.06833777848654,1284.3283113072566,177.91248680805452,147.60886809572276,44.26012542106487,-2568.6566226145133,355.82497361610905
