reference,model,rhat_mean,rhat_sd,ess_mean,ess_sd
Frontier et al. 2022,macroalgal,1.0008369410251214,4.4846874007310153e-4,4247.560289576904,1421.2141060660279
Frontier et al. 2022,conventional,1.0017260756060862,7.487453247136308e-4,4557.453354988209,1336.5335785623276
Vandendriessche et al. 2007,macroalgal,1.0047380376111872,0.021798120054877895,9007.103312166682,4029.9571801644197
Vandendriessche et al. 2007,conventional,1.0010310309676278,6.141942570670867e-4,10490.606583729832,1186.9248193404333
