reference,model,rhat_mean,rhat_sd,ess_mean,ess_sd
Frontier et al. 2022,gamma homoskedastic,1.00117535192376,4.320950261125308e-4,3537.221411515849,1480.9045318532412
Frontier et al. 2022,gamma heteroskedastic,1.001690009302268,8.117754824780413e-4,3841.823917202459,1555.9884507946683
Frontier et al. 2022,betaprime homoskedastic,1.002273895131906,0.0016225415013983197,3359.3719522828183,1167.2871085399017
Frontier et al. 2022,betaprime heteroskedastic,1.0017730251495236,0.0012728733011756355,4187.861513737669,1525.8342987620797
Vandendriessche et al. 2007,gamma homoskedastic,1.0026464365253909,0.009175744613811097,9123.672842501963,3389.4443363350665
Vandendriessche et al. 2007,gamma heteroskedastic,1.0037847791518255,0.016053387301817414,7455.386459641433,3509.32888972204
Vandendriessche et al. 2007,betaprime homoskedastic,1.0017443325808513,0.004040722757668108,7323.872918735842,3162.494999317256
Vandendriessche et al. 2007,betaprime heteroskedastic,1.004423687294146,0.01987217629399052,8836.936347773508,3805.4186638359915
