reference,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Frontier et al. 2022,normal,0,0,50.36057737631687,15.81299364908673,5.186418975447075,1.4477725976589173,-100.72115475263374,31.62598729817346
Frontier et al. 2022,gamma,-124.50134315448508,55.755362227435846,-74.14076577816824,65.2209707639014,33.58366317119655,31.47397026419759,148.2815315563365,130.4419415278028
Frontier et al. 2022,betaprime,-176.29824093678647,71.86664275419945,-125.93766356046962,81.21015247512362,47.703212692574844,45.67282457457023,251.87532712093923,162.42030495024724
Frontier et al. 2022,lognormal,-313.94696631508185,104.6197705557335,-263.58638893876497,113.691202770889,53.19919568791619,52.399646651639166,527.1727778775299,227.382405541778
Vandendriessche et al. 2007,gamma,0,0,1313.9287170941063,150.9634716249592,136.83400274680574,37.93354613088172,-2627.8574341882127,301.9269432499184
Vandendriessche et al. 2007,betaprime,-32.37683816380219,33.749712927805504,1281.5518789303046,178.13130293598422,152.705676858642,47.34765323586869,-2563.103757860609,356.26260587196845
Vandendriessche et al. 2007,normal,-181.57291726158277,89.85688018474326,1132.3557998325246,102.03609818387173,111.70772119061701,29.17374108797004,-2264.711599665049,204.07219636774346
Vandendriessche et al. 2007,lognormal,-689.4102176092931,251.38492526912236,624.5184994848129,246.4979027181355,245.1522030190676,97.97110995543665,-1249.0369989696258,492.995805436271
