reference,model,rhat,ess,elpd,diff,p
Frontier et al. 2022,relative,1 ± 0.00039,3481 ± 1682,50 ± 16,0 ± 0,5.1 ± 1.4
Frontier et al. 2022,constant,1.01 ± 0.0026,756 ± 145,46 ± 16,-3.9 ± 1.3,8.1 ± 2
Frontier et al. 2022,full,1.01 ± 0.002,1309 ± 404,47 ± 16,-3 ± 0.97,7.2 ± 1.7
Vandendriessche et al. 2007,relative,1 ± 0.0049,6994 ± 2879,1132 ± 102,-280 ± 74,110 ± 28
Vandendriessche et al. 2007,constant,1 ± 0.0085,6680 ± 3046,1402 ± 101,-14 ± 9.7,127 ± 27
Vandendriessche et al. 2007,full,1.02 ± 0.096,7887 ± 3932,1416 ± 102,0 ± 0,126 ± 25
