reference,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Frontier et al. 2022,conventional,0,0,46.37269291483315,16.168093563296896,3.8600491231335576,1.358025583494898,-92.7453858296663,32.33618712659379
Frontier et al. 2022,macroalgal,-15.288306306495944,27.52917082538188,31.0843866083371,37.2930376891187,22.723686698170205,18.872787309374722,-62.1687732166742,74.5860753782374
Vandendriessche et al. 2007,macroalgal,0,0,1321.1319308610875,136.10234157520023,167.0564064705901,45.90473085400771,-2642.263861722175,272.20468315040046
Vandendriessche et al. 2007,conventional,-2321.8218743130083,146.94063020837822,-1000.6899434519181,71.99789986470914,13.22179867161005,1.161312287458306,2001.3798869038362,143.99579972941828
