reference,model,rhat_mean,rhat_sd,ess_mean,ess_sd
Frontier et al. 2022,full,1.0068050453306285,0.0020418684358986055,1308.7505547501246,403.692816287543
Frontier et al. 2022,constant,1.0091992183657763,0.002552910743769609,755.5213813314546,144.80736735032144
Frontier et al. 2022,relative,1.0015636805196741,3.9098946579540486e-4,3481.2440602075385,1681.778270983809
Vandendriessche et al. 2007,full,1.0168931378581336,0.09588097580311523,7886.5700051506265,3931.8946843471645
Vandendriessche et al. 2007,constant,1.0032926700610245,0.00846193846119978,6679.565877233407,3046.4752726764686
Vandendriessche et al. 2007,relative,1.0018792084397767,0.004934325227118077,6993.815704237534,2879.4902166080205
