reference,model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Frontier et al. 2022,relative,0,0,50.383278850242164,15.757147412022805,5.133505264105776,1.3942175969550685,-100.76655770048433,31.51429482404561
Frontier et al. 2022,full,-3.034703320116856,0.9734834980867493,47.34857553012539,16.02744269256558,7.227145674889932,1.732619592374964,-94.69715106025077,32.05488538513116
Frontier et al. 2022,constant,-3.9465596022378264,1.3324039488827748,46.436719248004316,16.343368130375882,8.054214167104345,1.9715972167755593,-92.87343849600863,32.686736260751765
Vandendriessche et al. 2007,full,0,0,1415.80854024108,102.4993031787888,125.51592129173035,25.472005677005455,-2831.61708048216,204.9986063575776
Vandendriessche et al. 2007,constant,-13.700949404955242,9.73408026209924,1402.107590836125,100.76415312360929,127.18773670356627,26.551955202817197,-2804.21518167225,201.52830624721858
Vandendriessche et al. 2007,relative,-283.40690373564854,74.21193092035736,1132.401636505433,102.15437914747207,110.1912271450664,28.240261250332793,-2264.803273010866,204.30875829494414
