reference,model,rhat_mean,rhat_sd,ess_mean,ess_sd
Frontier et al. 2022,normal,1.0023675912139027,0.0015862245950767346,3383.2702474634293,1478.252694829485
Frontier et al. 2022,lognormal,1.0027561427486091,0.0010459191747530566,3213.2856085590124,557.0365613936069
Frontier et al. 2022,gamma,1.0017422301787036,4.890169848254995e-4,3682.9117400818614,1501.449884304827
Frontier et al. 2022,betaprime,1.0021176668945093,0.0012289986083256178,3579.077203013217,1322.6740395129184
Vandendriessche et al. 2007,normal,1.0017209187033747,0.0040420854165283664,6639.0657514317245,2938.952231493319
Vandendriessche et al. 2007,lognormal,1.0015201401905605,0.0026963976996906,9855.214821218882,4327.073434921535
Vandendriessche et al. 2007,gamma,1.0020253035085942,0.0049335856001099165,9929.198601587601,3728.0487687650657
Vandendriessche et al. 2007,betaprime,1.0016504972382563,0.004644961822604282,7305.854310065866,3202.3750226979328
